Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,090,222,023","1,790,587","17,670,824","2,130,467"
Bored Ape Yacht Club,"$2,439,754,017","12,052","32,670","6,586"
CryptoPunks,"$2,388,467,992","6,076","22,269","3,804"
Mutant Ape Yacht Club,"$1,744,822,678","23,768","51,775","13,121"
Art Blocks,"$1,310,734,558","33,549","184,470","36,091"
Otherdeed,"$1,054,265,540","26,351","59,673","34,703"
NBA Top Shot,"$1,032,899,753","446,514","21,817,564","694,026"
Azuki,"$801,910,254","14,797","32,916","5,299"
CloneX,"$735,652,504","11,266","21,964","9,731"
Moonbirds,"$595,271,415","13,332","19,069","6,665"
Doodles,"$530,161,052","13,665","27,563","6,348"
Meebits,"$524,972,782","12,578","34,879","6,737"
Sorare,"$440,003,187","118,395","3,837,807","158,198"
The Sandbox,"$371,533,094","27,796","62,345","19,033"
Cool Cats,"$369,011,549","12,797","32,167","5,699"
Bored Ape Kennel Club,"$350,304,508","10,576","24,508","5,593"
Loot,"$280,380,848","4,310","12,115","2,605"
World Of Women,"$248,761,610","10,959","27,412","5,613"
Cryptoadz,"$246,020,311","10,116","22,704","4,190"
VeeFriends,"$240,107,018","6,545","14,833","5,219"
Crabada,"$226,918,588","10,179","203,615","9,737"
Parallel Alpha,"$225,864,657","26,274","142,821",
Beanz,"$225,745,147","10,902","23,670","7,529"
CyberKongz,"$203,993,499","4,227","7,310","2,267"
Bored Ape Chemistry Club,"$200,511,690","2,220","3,882",
Farmers World,"$196,437,030","78,198","5,400,552","292,657"
ZED RUN,"$192,086,783","79,686","678,567","67,093"
Solana Monkey Business,"$189,047,919","4,547","10,653","6,892"
Pudgy Penguins,"$186,300,780","13,754","35,737","4,565"
MekaVerse,"$175,679,385","7,065","14,588","4,679"
NFT Worlds,"$165,773,561","11,938","28,711","6,251"
0N1 Force,"$160,531,846","9,967","21,621","4,373"
HAPE PRIME,"$160,197,120","6,896","13,058","4,443"
RTFKT MNLTH,"$153,025,989","5,328","8,732",
adidas Originals,"$144,353,501","26,816","41,731",
Degenerate Ape Academy,"$140,309,583","8,119","21,494","5,307"
MurakamiFlowers Seed,"$136,397,120","4,617","7,395",
RTFKT CloneX Mintvial,"$134,567,192","2,774","5,936",
Karafuru,"$133,324,440","10,868","17,106","3,768"
Okay Bears,"$131,339,554","9,304","25,828","10,005"
MFER,"$125,900,806","13,945","30,138","5,670"
projectPXN,"$125,401,487","13,693","23,303","6,087"
Invisible Friends,"$123,648,030","8,547","11,342","3,980"
FLUF World,"$121,727,327","7,381","21,731","3,568"
Creature World NFT,"$119,374,792","12,795","26,565","6,152"
Curio Cards,"$119,324,051","7,879","25,181",
Emblem Vault,"$114,912,761","5,694","21,629","6,337"
PhantaBear,"$106,996,458","8,972","18,259","5,110"
Cool Pets,"$106,953,411","17,913","30,300","9,314"
CyberBrokers,"$106,131,398","7,753","18,144","3,416"
KaijuKingz,"$106,095,806","8,814","13,458","4,236"
Prime Ape Planet,"$104,061,665","8,996","17,527","4,529"
Book Games,"$103,719,900","11,666","95,842",
LOSTPOETS,"$101,741,321","8,906","27,398","5,737"
World Of Women Galaxy,"$99,537,264","13,708","23,634","11,811"
Ethereum Name Service,"$98,708,955","42,087","159,494","487,632"
Lazy Lions,"$98,348,784","12,105","28,792","5,113"
DeadFellaz,"$98,228,843","14,130","28,894","6,413"
The Doge Pound,"$97,277,668","8,718","17,473","5,459"
The n project,"$95,547,838","5,186","13,151","2,992"
3Landers,"$95,069,771","11,838","23,548","6,037"
goblintown,"$93,935,318","11,921","34,633","4,642"
Vox Collectibles,"$91,155,683","7,123","19,144","3,242"
ALIENFRENS,"$89,887,901","16,341","33,247","6,644"
Aurory,"$89,308,460","6,969","16,362","4,340"
Hashmasks,"$88,289,847","6,389","20,228","5,300"
Psychedelics Anonymous Genesis,"$87,058,937","14,978","25,295","5,623"
Impostors Genesis,"$81,878,793","10,374","17,805","4,822"
WebbLand,"$81,181,702","11,388","23,836","4,542"
Yield Hunt Hunters,"$80,730,684","4,580","15,480","5,924"
Wolf Game,"$79,667,906","5,229","14,105","4,071"
Capsule,"$79,659,503","9,680","28,548","3,845"
VeeFriends Series 2,"$77,309,774","13,436","26,767","22,242"
V1 Cryptopunks Wrapped,"$76,909,170","1,062","2,361",798
Sup Ducks,"$74,717,648","8,421","20,327","3,743"
Sneaky Vampire Syndicate,"$74,581,344","7,156","16,545","4,537"
Mooncats,"$73,935,495","9,425","25,856","6,642"
Adam Bomb Squad,"$73,154,277","14,983","40,864","8,600"
SuperNormalbyZipcy,"$70,879,519","6,115","14,239","3,950"
Pixelmon,"$70,293,550","9,968","19,883","4,125"
888 Inner Circle,"$69,613,022","6,453","15,032",
Hero,"$68,036,393","7,602","13,357","4,523"
The Currency Eth,"$67,609,346","2,107","3,221","2,057"
CryptoSkulls,"$66,935,067","9,977","23,425","4,010"
Frontier Game,"$66,746,305","8,294","22,297",
Gutter Cat Gang,"$66,725,146","2,571","4,906",
Metroverse City Block,"$66,609,131","7,637","19,805","3,046"
MURI,"$66,293,910","17,775","32,637","5,724"
Lives of Asuna,"$65,478,676","15,961","27,418","4,978"
CryptoPhunksV2,"$64,747,609","5,210","16,887","2,842"
Rumble Kong League,"$62,726,536","5,179","13,426","3,098"
Arcade Land,"$62,555,901","10,270","21,145","5,207"
Gods Unchained Immutable,"$61,898,626","65,123","8,970,224","161,350"
DeGods,"$61,806,433","4,516","9,128","4,271"
FULL SEND METACARD,"$60,726,471","12,298","19,879","7,013"
GalacticApes,"$60,696,875","8,239","21,419","3,468"
MutantCats,"$60,331,754","10,337","24,303","3,641"
Nanopass,"$59,512,226","10,043","14,735","3,770"
Galactic Gecko Space Garage,"$59,435,468","10,115","32,145","3,998"
Anonymice,"$57,014,447","4,405","10,175","2,676"
Neo Tokyo Identities,"$56,283,923",843,"1,103","1,829"
MetaHero Universe Generative,"$55,626,083","2,209","3,903","3,030"
Shadowy Super Coder,"$55,326,823","3,127","7,973","2,255"
JRNY NFT Club,"$55,179,074","4,325","7,692","5,763"
Killer GF,"$55,167,285","7,809","16,875","3,996"
NFL All Day,"$55,010,535","42,880","1,355,252","93,196"
Kiwami,"$53,174,024","11,746","29,919","3,816"
Town Star,"$53,152,022","11,636","46,860",
CryptoBatz by Ozzy Osbourne,"$52,611,791","12,406","18,462","6,298"
Lil Heroes,"$52,409,947","5,006","9,961","3,829"
oncyber labs,"$51,886,161","7,946","14,680",
Crypto Bull Society,"$51,661,192","6,438","12,848","3,952"
Tubby Cats,"$51,467,366","21,775","42,480","8,972"
HypeBears,"$51,285,968","17,538","26,745","5,184"
Imaginary Ones,"$51,228,839","14,384","22,101","4,663"
CryptoMories,"$49,758,897","12,400","28,119","5,227"
Robotos Official,"$49,547,645","11,993","24,923","5,637"
The Shiboshis,"$49,491,290","4,052","10,653","3,678"
Galaxy Eggs,"$49,436,365","8,413","19,086","4,527"
ZombieClub Token,"$48,857,891","7,212","10,983","3,262"
Autoglyphs,"$48,697,026",198,367,166
Boss Beauties,"$48,536,933","10,846","22,342","5,573"
Treeverse,"$48,500,834","5,878","13,224","3,489"
CryptoKitties,"$48,360,362","117,816","802,145",
Crypto Unicorns,"$48,118,931","8,401","96,408","5,753"
My Pet Hooligan,"$48,068,483","9,520","18,303","4,612"
Akutars,"$47,662,219","3,337","7,047","5,361"
Chain Runners,"$47,157,598","5,223","12,233","3,370"
PUNKS Comic,"$47,022,789","4,165","8,443","3,872"
Panini America,"$46,444,604","14,746","1,032,037","13,164"
MurakamiFlowers,"$46,199,123","2,882","4,532","5,784"
Desperate ApeWives,"$46,076,701","5,937","14,952","4,219"
Sevens Token,"$44,448,956","6,463","13,071","3,192"
ApeKidsClub,"$43,786,752","10,144","22,616","4,902"
The Humanoids,"$43,668,262","10,339","23,423","4,727"
Quirkies,"$42,982,059","6,941","17,025","2,178"
Forgotten Runes,"$42,891,088","4,874","14,765","3,096"
The Sevens,"$42,827,906","6,401","12,555","3,193"
C-01 Official Collection,"$42,432,523","7,189","13,777","4,469"
Koala Intelligence Agency,"$42,350,975","9,087","19,639","4,940"
